time,open,high,low,close,tick_volume,spread,real_volume
2024-01-15,2047.652,2058.626,2045.764,2053.841,73430,199,0
2024-01-16,2053.997,2054.508,2024.188,2027.826,127344,199,0
2024-01-17,2028.1,2032.935,2001.739,2009.243,121509,199,0
2024-01-18,2009.261,2024.232,2005.717,2023.423,100408,199,0
2024-01-19,2023.523,2039.232,2020.31,2029.452,91501,199,0
2024-01-21,2028.529,2028.563,2026.853,2027.504,2793,199,0
2024-01-22,2027.49,2032.074,2016.399,2020.552,95501,199,0
2024-01-23,2020.554,2037.908,2019.559,2029.137,96050,199,0
2024-01-24,2029.003,2036.63,2011.138,2016.101,105233,199,0
2024-01-25,2015.977,2025.241,2009.497,2020.248,98770,199,0
2024-01-26,2020.356,2026.819,2015.854,2018.469,84398,199,0
2024-01-28,2023.424,2028.601,2021.187,2021.831,5023,199,0
2024-01-29,2021.832,2037.561,2019.277,2030.73,89996,199,0
2024-01-30,2030.962,2048.556,2029.024,2036.231,98555,199,0
2024-01-31,2036.4,2055.969,2030.825,2039.784,126185,199,0
2024-02-01,2039.897,2065.458,2029.913,2054.627,120371,199,0
2024-02-02,2054.638,2057.623,2027.741,2039.607,109100,199,0
2024-02-04,2041.781,2042.218,2039.07,2039.716,3246,199,0
2024-02-05,2039.298,2039.822,2014.821,2024.859,98328,199,0
2024-02-06,2024.81,2038.88,2022.832,2035.069,89954,199,0
2024-02-07,2035.115,2044.527,2030.522,2036.227,83878,199,0
2024-02-08,2036.221,2038.726,2020.117,2034.123,89587,199,0
2024-02-09,2033.939,2037.174,2020.192,2024.192,82273,199,0
2024-02-11,2026.346,2026.706,2024.4,2025.264,2177,199,0
2024-02-12,2025.415,2027.54,2011.854,2018.65,77495,199,0
2024-02-13,2018.599,2032.537,1989.965,1991.193,99035,199,0
2024-02-14,1991.332,1996.039,1984.121,1993.453,91477,199,0
2024-02-15,1993.441,2008.222,1990.163,2003.157,87811,199,0
2024-02-16,2003.099,2015.127,1995.071,2013.269,89416,199,0
2024-02-18,2012.706,2019.066,1997.784,2010.606,4245,199,0
2024-02-19,2012.796,2022.957,2009.19,2016.206,63395,199,0
2024-02-20,2015.981,2030.875,2014.955,2024.128,80341,199,0
2024-02-21,2024.048,2032.25,2019.999,2025.568,82602,199,0
2024-02-22,2025.483,2034.833,2019.547,2024.677,88926,199,0
2024-02-23,2024.524,2041.344,2015.981,2035.524,84840,199,0
2024-02-25,2033.24,2034.94,2033.179,2034.224,2095,200,0
2024-02-26,2033.996,2037.02,2025.015,2031.073,80010,199,0
2024-02-27,2030.986,2039.471,2028.678,2030.09,76563,199,0
2024-02-28,2029.968,2037.925,2024.467,2034.303,77436,199,0
2024-02-29,2034.378,2050.683,2028.057,2043.981,88632,199,0
2024-03-01,2044.051,2088.31,2039.039,2083.315,98741,199,0
2024-03-03,2082.522,2086.146,2082.522,2083.44,2888,199,0
2024-03-04,2083.591,2119.885,2079.413,2114.48,99674,199,0
2024-03-05,2114.34,2141.881,2110.402,2128.162,124514,199,0
2024-03-06,2127.777,2152.234,2123.604,2147.192,119453,199,0
2024-03-07,2146.851,2164.753,2144.185,2161.465,123494,199,0
2024-03-08,2161.641,2195.153,2153.954,2178.502,136770,199,0
2024-03-10,2179.559,2183.825,2177.114,2181.567,5740,199,0
2024-03-11,2181.592,2189.012,2174.633,2183.552,102736,199,0
2024-03-12,2183.551,2184.484,2150.467,2156.915,130621,199,0
2024-03-13,2156.907,2179.8,2156.527,2175.361,101946,199,0
2024-03-14,2175.448,2176.978,2152.649,2161.62,105654,199,0
2024-03-15,2161.698,2172.712,2155.092,2155.698,95261,199,0
2024-03-17,2153.279,2156.533,2153.08,2156.517,5006,199,0
2024-03-18,2156.473,2163.613,2146.062,2161.65,93184,199,0
2024-03-19,2162.053,2162.838,2147.154,2157.009,96887,199,0
2024-03-20,2157.054,2211.005,2149.544,2203.501,130152,199,0
2024-03-21,2203.971,2212.563,2166.296,2181.491,141806,199,0
2024-03-22,2181.676,2186.042,2156.982,2165.338,111808,199,0
2024-03-24,2166.313,2168.893,2165.06,2168.337,5634,199,0
2024-03-25,2168.318,2181.267,2163.412,2172.878,102858,199,0
2024-03-26,2172.884,2200.05,2167.576,2179.466,109259,199,0
2024-03-27,2179.463,2197.586,2173.105,2190.969,107709,199,0
2024-03-28,2190.723,2236.293,2187.306,2232.58,123595,199,0
2024-03-31,2239.644,2247.34,2235.57,2244.928,10517,299,0
2024-04-01,2245.959,2265.678,2228.472,2248.936,128952,199,0
2024-04-02,2248.963,2288.254,2246.634,2280.206,151227,199,0
2024-04-03,2279.885,2302.445,2265.347,2297.448,153533,199,0
2024-04-04,2297.5,2305.543,2279.817,2288.891,143397,199,0
2024-04-05,2288.691,2330.526,2267.751,2329.355,173347,199,0
2024-04-07,2327.315,2328.564,2304.031,2311.647,19547,199,0
2024-04-08,2311.297,2354.14,2302.862,2338.788,231213,199,0
2024-04-09,2338.784,2365.34,2337.769,2354.776,184188,199,0
2024-04-10,2354.899,2360.079,2319.215,2335.429,228163,199,0
2024-04-11,2335.489,2379.358,2325.627,2377.0,178645,199,0
2024-04-12,2376.787,2431.527,2333.793,2344.382,305391,199,0
2024-04-14,2369.105,2371.92,2346.756,2364.486,11726,199,0
2024-04-15,2364.446,2392.036,2324.101,2381.835,250409,199,0
2024-04-16,2381.895,2398.28,2362.955,2382.843,237440,199,0
2024-04-17,2382.703,2395.58,2354.548,2367.838,195005,199,0
2024-04-18,2367.837,2392.805,2364.016,2380.003,167979,199,0
2024-04-19,2379.867,2417.893,2372.761,2390.677,255514,199,0
2024-04-21,2384.011,2388.589,2381.869,2386.483,9777,199,0
2024-04-22,2386.506,2386.506,2324.497,2333.738,188975,199,0
2024-04-23,2333.716,2334.376,2291.321,2323.21,218334,199,0
2024-04-24,2323.226,2337.354,2311.704,2316.219,155005,199,0
2024-04-25,2316.223,2344.872,2304.861,2330.621,173991,199,0
2024-04-26,2330.617,2352.555,2326.219,2337.792,141826,199,0
2024-04-28,2333.884,2336.829,2332.473,2335.985,6393,199,0
2024-04-29,2335.937,2346.706,2319.802,2333.173,153370,199,0
2024-04-30,2333.178,2336.113,2284.967,2291.244,156474,199,0
2024-05-01,2291.256,2328.288,2281.544,2323.809,178119,199,0
2024-05-02,2323.848,2326.47,2285.392,2304.247,147739,199,0
2024-05-03,2304.243,2320.712,2277.069,2301.627,171398,199,0
2024-05-05,2302.321,2303.288,2293.265,2293.968,7228,199,0
2024-05-06,2293.929,2332.091,2291.774,2325.943,148685,199,0
2024-05-07,2325.955,2329.925,2309.9,2315.119,116979,199,0
2024-05-08,2315.167,2321.336,2303.584,2308.74,124436,199,0
2024-05-09,2308.733,2348.325,2306.455,2346.517,132163,199,0
2024-05-10,2346.56,2378.509,2345.925,2360.449,146644,199,0
2024-05-12,2361.401,2363.088,2359.722,2360.411,5289,199,0
2024-05-13,2360.447,2364.488,2332.029,2338.408,128874,199,0
2024-05-14,2338.39,2359.615,2334.734,2355.772,131530,199,0
2024-05-15,2355.771,2391.91,2351.746,2391.769,158872,199,0
2024-05-16,2391.764,2397.355,2370.885,2377.726,139595,199,0
2024-05-17,2377.72,2422.736,2373.931,2413.933,137649,199,0
2024-05-19,2425.202,2425.202,2416.731,2420.194,10234,199,0
2024-05-20,2420.206,2450.025,2407.265,2426.133,207911,199,0
2024-05-21,2426.135,2433.943,2406.037,2421.654,171436,199,0
2024-05-22,2421.659,2426.539,2374.935,2382.124,169610,199,0
2024-05-23,2382.155,2383.686,2326.845,2332.012,191548,199,0
2024-05-24,2332.015,2347.385,2325.351,2333.781,122212,199,0
2024-05-26,2335.785,2340.678,2332.184,2337.175,6784,199,0
2024-05-27,2337.186,2358.486,2334.36,2352.373,95165,199,0
2024-05-28,2352.412,2364.078,2340.233,2359.685,145779,199,0
2024-05-29,2359.65,2361.361,2334.482,2338.364,130690,199,0
2024-05-30,2338.378,2351.847,2322.527,2343.907,155397,199,0
2024-05-31,2343.921,2359.724,2320.529,2327.191,154044,199,0
